UNIQUEID,NAME,TELEPHONENUMBER,ROLE,EMAILID,USERNAME,PASSWORD
1234,ABC,1234567890,BORROWER,xyz@gmail.com,ab,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,c,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,d,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,e,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,f,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,g,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,h,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,i,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,j,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,k,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,l,1234
1234,ABC,1234567890,BORROWER,xyz@gmail.com,m,1234
